Age Group,Light Condition Desc,ACCIDENT_NO
22-25,Dusk/Dawn,32005021669
22-25,Day,32005035893
22-25,Dark Street lights on,32005017810
22-25,Day,32005002129
22-25,Day,42005009905
22-25,Day,42005017161
22-25,Day,42005021454
22-25,Dark Street lights on,52005016867
22-25,Day,32005015397
22-25,Dark Street lights on,32005024886
22-25,Dark Street lights on,52005024751
22-25,Dark Street lights on,32005029129
22-25,Day,52005025035
22-25,Dark Street lights on,42005023006
22-25,Day,42005014447
22-25,Day,52005026354
22-25,Day,32005009139
22-25,Day,42005027774
22-25,Dusk/Dawn,52005023730
22-25,Day,52005030833
22-25,Dusk/Dawn,42005026768
22-25,Day,52005028034
26-29,Dusk/Dawn,52005019806
26-29,Dark Street lights on,32005021657
26-29,Day,32005030150
26-29,Day,32005031356
26-29,Dusk/Dawn,42005007246
26-29,Day,42005008947
26-29,Day,52005013841
26-29,Dusk/Dawn,52005022171
26-29,Dark Street lights on,52005027842
26-29,Dark Street lights on,32005013591
26-29,Day,32005018447
26-29,Day,42005032925
26-29,Day,42005008497
60-64,Day,52005010260
60-64,Dark Street lights on,32005007376
60-64,Dark Street lights off,32005030923
64-69,Day,32005028631
64-69,Day,42005028358
64-69,Day,32005012827
64-69,Day,42005016861
64-69,Day,32005036105
64-69,Day,42005019161
64-69,Day,42005026742
70+,Day,52005001718
70+,Dusk/Dawn,52005030685
70+,Day,52005014552
70+,Day,52005041221
70+,Day,52005008986
70+,Dark Street lights on,42005033674
70+,Dark Street lights on,42005024067
70+,Day,42005017000
70+,Day,32005034962
70+,Day,52005030084
70+,Day,32005035212
70+,Day,52005012189
70+,Day,52005041560
70+,Day,52005009156
70+,Day,52005002445
22-25,Day,42005012465
22-25,Dusk/Dawn,32005035257
22-25,Dark Street lights on,32005022068
22-25,Dark Street lights on,42005024245
22-25,Dusk/Dawn,52005005044
22-25,Dark Street lights on,32005018986
22-25,Day,32005017559
22-25,Dark Street lights on,52005023745
22-25,Dusk/Dawn,52005013688
22-25,Day,52005041081
22-25,Day,52005037295
26-29,Day,42005025912
26-29,Dark Street lights on,42005029805
26-29,Dark Street lights on,42005009408
26-29,Day,32005003945
26-29,Day,52005034534
26-29,Day,32005009357
26-29,Day,32005009416
26-29,Dark Street lights on,32005031337
26-29,Dark No street lights,52005022841
26-29,Day,32005032220
26-29,Dark Street lights on,32005010588
